amountraised,category,currencyused,endDate,numbercontributors,startDate,target,title
"1,645",<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"Feb 26, 2014",28,"Feb 26, 2014",of $7.5k goal,Iron & Ash Crew
250,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"May 27, 2014",4,"May 27, 2014",of $3k goal,Help with trailer purchase
140,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"Jul 14, 2014 at 05:57AM PTJun 11, 2014",4,"Jun 11, 2014",of $3k goal,Asking for help
"1,140",<h1>Veterans &amp; Heroes</h1>,Euro,"Apr 20, 2013",38,"Apr 20, 2013",of €15k goal,Cole's Bayonet Charge Memorial Monument
138,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"Sep 19, 2014 at 09:30AM PTJun 6, 2014",5,"Jun 6, 2014",of $1.4k goal,3rd BN 4th MAR Lima Co Reunion 2015 Alumni Shirts
125,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"Jun 9, 2014",4,"Jun 9, 2014",of $300 goal,Raising money for Operation Beat the Heat..
675,<h1>Veterans &amp; Heroes</h1>,U.S. Dollar,"Jun 27, 2014",9,"Jun 27, 2014",of $500 goal,Please help bring Dad home!
"3,090",<h1>Alumni &amp; Clubs</h1>,U.S. Dollar,"Aug 18, 2013",25,"Aug 18, 2013",of $7k goal,Tomales High School Class of 1986 - 1991 Reunion
"3,300",<h1>Alumni &amp; Clubs</h1>,U.S. Dollar,"Nov 19, 2013 at 10:43PM PTSep 8, 2013",86,"Sep 8, 2013",of $2.5k goal,Meet & Greet Bravo Co. 13.11.08/No Marine Alone
120,<h1>Alumni &amp; Clubs</h1>,U.S. Dollar,"Dec 10, 2013 at 08:31AM PTNov 28, 2013",5,"Nov 28, 2013",of $60 goal,DXN Beta Chapter Holiday Party
485,<h1>Alumni &amp; Clubs</h1>,U.S. Dollar,"Apr 7, 2014 at 09:21AM PTSep 16, 2013",14,"Sep 16, 2013",of $2k goal,MGHS PSA NY Chapter-CHANGE FOR A CAUSE
"2,920",<h1>Alumni &amp; Clubs</h1>,U.S. Dollar,"Jul 17, 2013",14,"Jul 17, 2013",of $4k goal,Ken Morgan Clark needs our help!
"7,405","<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 20, 2018 at 07:39AM PTApr 17, 2018",53,"Apr 17, 2018",of $6.3k goal,The Amazing Raise 2018: Team Barn
"8,090","<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 20, 2018 at 07:39AM PTApr 17, 2018",51,"Apr 17, 2018",of $6.3k goal,The Amazing Raise 2018: Team MP Room
"32,615","<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 20, 2018 at 07:39AM PTApr 17, 2018",237,"Apr 17, 2018",of $25k goal,The Amazing Raise 2018: SAINTS Rescue
"8,375","<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 20, 2018 at 07:39AM PTApr 17, 2018",57,"Apr 17, 2018",of $6.3k goal,The Amazing Raise 2018: Team House
146,"<h1>Animals, Pets &amp; Humane</h1>",Euro,"Jun 5, 2018 at 10:21AM PTMay 3, 2018",7,"May 3, 2018",of €2k goal,Dalida Kozlic's Rescued Animals
289,"<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 20, 2018",11,"May 20, 2018",of $225 goal,Puppy Bianka was shot twice and left to DIE
230,"<h1>Animals, Pets &amp; Humane</h1>",U.S. Dollar,"Jun 21, 2018 at 08:37AM PTMay 13, 2018",5,"May 13, 2018",of $931 goal,Rescued Stray FIV+ Needs Help Now
300,"<h1>Animals, Pets &amp; Humane</h1>",Euro,"Jun 10, 2018 at 12:50PM PTMay 18, 2018",21,"May 18, 2018",of €300 goal,HElP US TO HELP LITTLE KITTEN STAY ALIVE
910,"<h1>Animals, Pets &amp; Humane</h1>",Canadian Dollar,"May 1, 2018",22,"May 1, 2018",of $1k goal,Please help Joyke come to his new life in Canada!
715,"<h1>Animals, Pets &amp; Humane</h1>",U.S. Dollar,"Apr 26, 2018",17,"Apr 26, 2018",of $1.2k goal,Please Help Safe Harbor vet 3 abandoned dogs
190,"<h1>Animals, Pets &amp; Humane</h1>",U.S. Dollar,"Jul 1, 2018 at 12:48PM PTMay 29, 2018",4,"May 29, 2018",of $315 goal,Help to cover monthly food for 12 rescued dogs!
"1,605","<h1>Arts, Creative &amp; Fashion</h1>",U.S. Dollar,"Jul 14, 2016",32,"Jul 14, 2016",of $1.8k goal,Get Ya Boy Through His Last Year of School
970,"<h1>Arts, Creative &amp; Fashion</h1>",U.S. Dollar,"Sep 24, 2014",10,"Sep 24, 2014",of $25k goal,Christian Performing Arts Center Scholarship Fund
"3,083","<h1>Arts, Creative &amp; Fashion</h1>",U.S. Dollar,"Apr 4, 2015",85,"Apr 4, 2015",of $5k goal,"Please help us finish our film, ""Mandarava""."
100,"<h1>Arts, Creative &amp; Fashion</h1>",U.S. Dollar,"May 23, 2017",2,"May 23, 2017",of $25k goal,#lovebeatscancer - cancer fundriser May 30th 2017
450,"<h1>Arts, Creative &amp; Fashion</h1>",Canadian Dollar,"Oct 26, 2018
					
				Oct 26, 2018 at 12:59AM PTMar 17, 2017",7,"Mar 17, 2017",of $4.2k goal,Can/USA Early Music Tour with Benjamin Simao 2018
352,"<h1>Arts, Creative &amp; Fashion</h1>",U.S. Dollar,"Mar 25, 2014",10,"Mar 25, 2014",of $1k goal,Induct Cheap Trick Petition Campaign
"4,910","<h1>Arts, Creative &amp; Fashion</h1>",Euro,"Jun 20, 2017 at 03:36AM PTApr 18, 2017",33,"Apr 18, 2017",of €4k goal,Professional Aranea Highwind Project
830,"<h1>Arts, Creative &amp; Fashion</h1>",Canadian Dollar,"Jun 17, 2017 at 08:29AM PTApr 25, 2017",15,"Apr 25, 2017",of $5k goal,Daughters Of Lilith
100,"<h1>Arts, Creative &amp; Fashion</h1>",Canadian Dollar,"Jun 16, 2017",2,"Jun 16, 2017",of $9k goal,Help Serbinand say Hello..!
250,"<h1>Arts, Creative &amp; Fashion</h1>",U.S. Dollar,"Dec 2, 2016",6,"Dec 2, 2016",of $2.5k goal,Statements Dance Company: Black Underground
"21,819","<h1>Arts, Creative &amp; Fashion</h1>",Pound Sterling,"Jul 4, 2017 at 02:55AM PTOct 24, 2016",1068,"Oct 24, 2016",of £20k goal,Pre-order the new dragéekíss™
120,<h1>Accidents &amp; Disasters</h1>,U.S. Dollar,"Dec 15, 2015",5,"Dec 15, 2015",of $5k goal,Help a Marine fix his Jeep!!
560,<h1>Accidents &amp; Disasters</h1>,U.S. Dollar,"Dec 26, 2015",15,"Dec 26, 2015",of $3k goal,Jefferey and Randall  medical expenses
380,<h1>Accidents &amp; Disasters</h1>,U.S. Dollar,"Jan 4, 2016",5,"Jan 4, 2016",of $5k goal,Todos Unidos con Amy Joan
"71,792",<h1>Accidents &amp; Disasters</h1>,U.S. Dollar,"Sep 15, 2013",1120,"Sep 15, 2013",of $150k goal,In loving memory of Esther Ohayon and aid for Orly
950,<h1>Accidents &amp; Disasters</h1>,Canadian Dollar,"Aug 24, 2015",6,"Aug 24, 2015",of $50k goal,Distracted Driver Victim
154,<h1>Accidents &amp; Disasters</h1>,Pound Sterling,"Mar 3, 2016 at 09:39AM PTJan 24, 2016",9,"Jan 24, 2016",of £2k goal,baby saffiyahs fund.
"1,570",<h1>Accidents &amp; Disasters</h1>,Canadian Dollar,"Jan 15, 2016",7,"Jan 15, 2016",of $40k goal,"FIRE DEVASTATION FUND, plead help my son"
235,<h1>Accidents &amp; Disasters</h1>,Canadian Dollar,"Feb 29, 2016 at 08:11PM PTFeb 17, 2016",8,"Feb 17, 2016",of $2.5k goal,Fires in Northern Uganda Spiral out of Control
"2,200",<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Jan 25, 2016 at 12:49PM PTJan 27, 2015",65,"Jan 27, 2015",of $2.2k goal,Help us fund the 2015 Krewe of JULU Parade!
628,<h1>Celebrations &amp; Weddings</h1>,Pound Sterling,"Apr 15, 2015",81,"Apr 15, 2015",of £300 goal,Let's give Rambo the send off he deserves.
"1,275",<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Mar 4, 2015",15,"Mar 4, 2015",of $4.5k goal,Our Special Day
"6,110",<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"May 7, 2015",43,"May 7, 2015",of $10k goal,"The Otare ""Gen-1"" Fund"
380,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Oct 28, 2018
					
				Oct 28, 2018 at 12:59AM PTAug 14, 2018",12,"Aug 14, 2018",of $1k goal,Over The Edge for Williamsport
120,<h1>Celebrations &amp; Weddings</h1>,Canadian Dollar,"Oct 31, 2015",4,"Oct 31, 2015",of $300 goal,Please help us tune up and tune in!
825,<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Mar 20, 2017 at 09:52AM PTMar 18, 2016",21,"Mar 18, 2016",of $800 goal,"Woodzie 2016 Sanitation Fund, y'all!"
"1,860",<h1>Celebrations &amp; Weddings</h1>,U.S. Dollar,"Jun 30, 2016 at 01:33PM PTJun 20, 2016",29,"Jun 20, 2016",of $5k goal,Becky Runs For Gold Celebration & PCRF Fundraiser
780,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Mar 16, 2018",10,"Mar 16, 2018",of $19k goal,South Coast Jazz - a World-Class Jazz-Blues Fest
214,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Sep 13, 2018 at 08:05AM PTAug 9, 2018",17,"Aug 9, 2018",of $10k goal,Mandu Apparel KPOP Store NYC
"1,000",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 21, 2018",2,"Aug 21, 2018",of $1k goal,Help us help children and families in our city!
"9,805",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 14, 2018",21,"Aug 14, 2018",of $10k goal,2018 Charity Championship
300,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 30, 2018",5,"Aug 30, 2018",of $4k goal,Steve Milani for Port Moody Council!
880,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 14, 2018",13,"Aug 14, 2018",of $12k goal,Bigger than Basketball
"56,088",<h1>Community &amp; Volunteer</h1>,Hong Kong Dollar,"Nov 1, 2018
					
				Nov 1, 2018 at 12:59AM PTApr 13, 2018",39,"Apr 13, 2018",of $350k goal,HHYC 24HR Charity Dinghy Race 2018
100,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Nov 17, 2018
					
				Nov 17, 2018 at 11:59PM PTOct 1, 2018",2,"Oct 1, 2018",of $500 goal,UMass Western Equestrian Fundraiser
915,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Aug 6, 2016",27,"Aug 6, 2016",of $100k goal,ODWIRAMAN Foundation - Eradicating Poverty
"1,430",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Nov 8, 2018
					
				Nov 8, 2018 at 11:59PM PTOct 9, 2018",44,"Oct 9, 2018",of $1k goal,Chevy Emergency Medical Fund
100,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Oct 27, 2018
					
				Oct 27, 2018 at 12:59AM PTOct 10, 2018",2,"Oct 10, 2018",of $1k goal,St. John’s Halloween Parade
"2,272",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Jul 5, 2018",72,"Jul 5, 2018",of $2k goal,Help Rayelan Raise enough money to pay the bills
"7,654",<h1>Community &amp; Volunteer</h1>,Pound Sterling,"Jul 17, 2018",293,"Jul 17, 2018",of £10k goal,Please help to save Dolls Houses Past & Present!
"2,822",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Nov 9, 2018
					
				Nov 9, 2018 at 11:59PM PTSep 10, 2018",12,"Sep 10, 2018",of $11k goal,Fun Children's Book Teaches Kids Money!
315,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Nov 27, 2018
					
				Nov 27, 2018 at 11:59PM PTAug 15, 2018",8,"Aug 15, 2018",of $3k goal,Turtle conservation in El Paredon
480,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Mar 1, 2019
					
				Mar 1, 2019 at 11:59PM PTSep 25, 2018",8,"Sep 25, 2018",of $10k goal,Help Us Pay For Our Trip to Playoffs!
100,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Nov 4, 2018
					
				Nov 4, 2018 at 12:59AM PTOct 4, 2018",1,"Oct 4, 2018",of $7.7k goal,Support The Bastards in the Pulpit Production!
"1,623",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Jul 27, 2018",54,"Jul 27, 2018",of $2.5k goal,La Liga Kappa De Muñoz/ Kappa League DR -DQ Manley
"5,425",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Jan 30, 2018",42,"Jan 30, 2018",of $8.5k goal,Justice for Kris & Kiwi - Kris Thompson Legal Fund
"9,206",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Sep 19, 2018",279,"Sep 19, 2018",of $9k goal,Niko needs our help
"1,318",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Sep 5, 2018",29,"Sep 5, 2018",of $250k goal,Help Rayelan Raise enough money to pay the bills
"2,100",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Oct 11, 2018 at 04:20PM PTSep 30, 2018",27,"Sep 30, 2018",of $2k goal,Wounded Knee Descendant Retreat
"2,925",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"May 20, 2014",35,"May 20, 2014",of $3k goal,Support Heard Farm
750,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Sep 6, 2018",19,"Sep 6, 2018",of $3k goal,Help purchasing mobility equipment
"5,220",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Feb 7, 2018",60,"Feb 7, 2018",of $2.8k goal,Help me #keepmoving with an Alinker walking bike
100,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Nov 16, 2018
					
				Nov 16, 2018 at 11:59PM PTSep 17, 2018",1,"Sep 17, 2018",of $2.8k goal,Help me #keepmoving with an Alinker walking bike
275,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Sep 28, 2018 at 04:42AM PTSep 16, 2018",9,"Sep 16, 2018",of $2k goal,Cuddle Bear Donations
685,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Nov 4, 2018
					
				Nov 4, 2018 at 11:59PM PTAug 10, 2018",20,"Aug 10, 2018",of $1k goal,Rock and Roll
"6,310",<h1>Community &amp; Volunteer</h1>,Euro,"Apr 30, 2015",84,"Apr 30, 2015",of €3k goal,¡Apoya Hogar Social Madrid!
"1,250",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Sep 24, 2015",59,"Sep 24, 2015",of $7k goal,STOP BULLYING FILM PROJECT
570,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Oct 19, 2018
					
				Oct 19, 2018 at 12:59AM PTSep 18, 2018",12,"Sep 18, 2018",of $400 goal,Help the Sylvia Rivera Gun Club launch!
705,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 26, 2018",6,"Aug 26, 2018",of $750 goal,House of Solidarity Relocation Campaign
"2,846",<h1>Community &amp; Volunteer</h1>,Pound Sterling,"Jul 1, 2017",61,"Jul 1, 2017",of £15k goal,Tequio: Pro Mexican Youth
322,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Aug 9, 2018",6,"Aug 9, 2018",of $3.6k goal,Help Send Anakbayan and Migrante SD to New York!
"2,870",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Sep 14, 2018",6,"Sep 14, 2018",of $3.5k goal,Because everyone should play- Ehrlo Sport Venture
"1,500",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 21, 2018",37,"Aug 21, 2018",of $1k goal,2018 Charity Championship
"10,105",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 17, 2018",70,"Aug 17, 2018",of $2.5k goal,POKEYMOMS and DSPCH NEED YOUR HELP
"12,320",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Sep 14, 2018",13,"Sep 14, 2018",of $1k goal,Summer Bash at the 2018 Charity Championship
"2,850",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Sep 20, 2018 at 02:48PM PTSep 17, 2018",28,"Sep 17, 2018",of $2.8k goal,FKMS: the wheeling edition
500,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Sep 3, 2018",1,"Sep 3, 2018",of $2k goal,Live Like a Boss for Less
938,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"May 6, 2018",20,"May 6, 2018",of $5k goal,Help Armstrong Ongera Fundraise for Children
170,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Oct 5, 2018 at 12:02PM PTMay 23, 2017",7,"May 23, 2017",of $750 goal,Support Your Mocha Moms Website Fund!
"1,040",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Sep 11, 2018",11,"Sep 11, 2018",of $1k goal,2018 Charity Championship
300,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Sep 15, 2018",1,"Sep 15, 2018",of $4k goal,Together We Can Inspire Women To Be BeYoutiful!
"4,300",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Aug 28, 2018",10,"Aug 28, 2018",of $5k goal,SplashStand - Wedgwood Web Works
"3,330",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 17, 2018",18,"Aug 17, 2018",of $5k goal,2018 Charity Championship - The Village People
"1,060",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 17, 2018",4,"Aug 17, 2018",of $3k goal,CC RezQ-ers - 2018 Charity Championship
"1,005",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Sep 12, 2018",6,"Sep 12, 2018",of $1k goal,2018 Charity Championship - The Casey Foundation
"1,115",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Jul 23, 2018",19,"Jul 23, 2018",of $1k goal,Help Bring Regina's First Fitness Trail to Life!
"1,570",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Jul 19, 2018",29,"Jul 19, 2018",of $2k goal,Please help us raise funds for The Pack Project!
"1,350",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Sep 14, 2018",15,"Sep 14, 2018",of $10k goal,2018 Charity Championship
"1,145",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Jul 19, 2018",29,"Jul 19, 2018",of $1k goal,2018 Charity Championship - Teddy Bears Anonymous
410,<h1>Community &amp; Volunteer</h1>,Pound Sterling,"Aug 8, 2018",14,"Aug 8, 2018",of £2k goal,Sgt. Calvert Memorial - Conisbrough's VC Winner
"16,261",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Jul 21, 2018",132,"Jul 21, 2018",of $75k goal,Closed studio open heart & mind funding the future
170,<h1>Community &amp; Volunteer</h1>,Pound Sterling,"Sep 11, 2018 at 11:32PM PTSep 10, 2018",11,"Sep 10, 2018",of £1k goal,A nationwide Scottish Covenant campaign
"1,195",<h1>Community &amp; Volunteer</h1>,Pound Sterling,"Jun 1, 2018",66,"Jun 1, 2018",of £2.4k goal,URGENT foster dogue has EMERGENCY SURGERY - BLOAT
345,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Sep 7, 2018",5,"Sep 7, 2018",of $5k goal,Help Support Fastpitch Softball at Michigan Tech
240,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Sep 11, 2018",3,"Sep 11, 2018",of $1k goal,2018 Charity Championship
300,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 29, 2018",3,"Aug 29, 2018",of $1k goal,Helping Send Kids To Camp Easter Seals!
263,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Aug 8, 2018",16,"Aug 8, 2018",of $300 goal,St. Marks Place Annual Block Party
"1,655",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Sep 30, 2017",25,"Sep 30, 2017",of $6k goal,Fencing & Shelters Fundraiser - A Home for Hooves
"1,000",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Aug 21, 2018",3,"Aug 21, 2018",of $1k goal,Help us help children and families in our city!
"1,647",<h1>Community &amp; Volunteer</h1>,Pound Sterling,"Aug 19, 2018 at 10:57AM PTJul 29, 2018",106,"Jul 29, 2018",of £100 goal,David Dickson (Dave21478) Memorial
"16,952",<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Apr 12, 2016",122,"Apr 12, 2016",of $32k goal,Fighting for the rights of Ontario's Autistic Kids
"10,010",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Mar 4, 2017",10,"Mar 4, 2017",of $88.9k goal,5050x2020 Women Lead 2 Vote to Achieve Equality
315,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Jul 28, 2018",11,"Jul 28, 2018",of $440 goal,CommunityCave's TQI Crew Goes Camping! - 2018
298,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Apr 28, 2018",6,"Apr 28, 2018",of $3.5k goal,"Send a Witch to Camp, Keep the Live Auction Dead!"
540,<h1>Community &amp; Volunteer</h1>,Canadian Dollar,"Jul 7, 2012",11,"Jul 7, 2012",of $1.5k goal,HELP BRING WATER TO PUPA'S GARDEN
"1,205",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Sep 3, 2018 at 05:53PM PTAug 22, 2018",19,"Aug 22, 2018",of $1k goal,Help a Homeless Working Mom Out!
150,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Aug 15, 2018",3,"Aug 15, 2018",of $30k goal,Please help Scott rebuild after the fire
"1,622",<h1>Community &amp; Volunteer</h1>,Euro,"Feb 20, 2018",10,"Feb 20, 2018",of €1.8k goal,Support Holocaust education in Vilnius
"3,827",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Aug 19, 2016",34,"Aug 19, 2016",of $10k goal,Go Fund Justice
225,<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Aug 18, 2018",12,"Aug 18, 2018",of $5k goal,Counseling for Immigrant Youth torn from Parents
"26,074",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Apr 7, 2014",224,"Apr 7, 2014",of $30k goal,Help give JALANAN's musicians a home!
"15,087",<h1>Community &amp; Volunteer</h1>,U.S. Dollar,"Dec 17, 2015",16,"Dec 17, 2015",of $38k goal,Guardians of Territory and Culture in the Amazon
